Name,Ort
Texttechnologie und Computerlinguistik,Bielefeld
Informatik für Geistes- und Sozialwissenschaftler,Chemnitz
Bachelor of Arts Digital Philology,Darmstadt
Linguistic and Literary Computing,Darmstadt
Joint Bachelor of Arts – combined course, incl. Digital Philology,Darmstadt
Master of Arts Linguistic and Literary Computing,Darmstadt
Computerlinguistik,Düsseldorf
Digital Humanities,Erlangen
Digitale Geistes- und Sozialwissenschaften,Erlangen
Linguistische Informatik (2-Fach),Erlangen
Sprachtechnologie und Fremdsprachendidaktik (Germanistik),Giessen
Sprachtechnologie und Fremdsprachendidaktik (Anglistik),Giessen
Sprachtechnologie und Fremdsprachendidaktik (Romanistik),Giessen
Sprachtechnologie und Fremdsprachendidaktik (Slavistik),Giessen
Specialisation in Digital Humanities in the Applied Computer Science M.Sc.,Göttingen
Masterstudium Digitale Geisteswissenschaften (Master Programme Digital Humanities),Graz
Bibliotheks- und Informationsmanagement,Hamburg
Computerlinguistik,Heidelberg
Computerlingusitik,Heidelberg
Computerlinguistik,Heidelberg
Computerlinguistik,Heidelberg
Computerlinguistik,Heidelberg
Medieninformatik im Verbund mit Medienkulturwissenschaften,Köln
Medieninformatik im Verbund mit Medienkulturwissenschaften,Köln
Infomationsverarbeitung (2-Fach),Köln
Informationsverarbeitung,Köln
Informationsverarbeitung(1 Fach),Köln
Informationsverarbeitung(2 Fach),Köln
Mittelalterstudien mit möglicher Schwerpunktdisziplin Digital Humanities (1 Fach),Köln
Mittelalterstudien mit möglicher Schwerpunktdisziplin Digital Humanities (2 Fach),Köln
Speech and Language Processing,Konstanz
Master of Arts in Digital Humanities,Lausanne
Master of Science in Digital Humanities,Lausanne
Bibliotheks- und Informationsmanagement,Leipzig
Bibliotheks- und Informationsmanagement,Leipzig
Digital Humanities,Leipzig
Digital Humanities,Leipzig
Digitale Methodik in den Geistes und Kulturwissenschaften,Mainz
Computerlinguistik,München
Computerlinguistik,München
Digital Humanities - Sprachwissenschaften,München
Digital Humanities,Paderborn
Computerlinguistik,Potsdam
Cognitive Systems: Language, Learning and Reasoning,Potsdam
Informationswissenschaft,Potsdam
Digital Humanities,Regensburg
Informationswissenschaft,Regensburg
Language Science and Technology,Saarbrücken
Computerlinguistik,Saarbrücken
Translation Science and Technology,Saarbrücken
Digital Humanities,Stuttgart
Maschinelle Sprachverarbeitung,Stuttgart
Computerlinguistik (1 Fach/ 2 Fach),Trier
Digital Humanities,Trier
Computerlinguistik / Computational Linguistics,Tübingen
Computerlinguistik / Computational Linguistics,Tübingen
Editions- und Dokumentenwissenschaften,Wuppertal
Digital Humanities,Würzburg
Digital Humanities,Würzburg
Digital Humanities,Würzburg
Digital Humanities,Würzburg
Digital Humanities (2 Fach),Würzburg
Digital Humanities,Wien
Cultural Data Studies,Marburg
Sprache, Technologie, Medien (STeM),Trier
Digital Humanities (Master’s Degree Program): Humanities for the 21st century,Basel
Digital Humanities,Dresden
Digital Humanities,Göttingen
Digital Humanities,Göttingen
Romanistik / Digital Humanities,Stuttgart
Angewandte Data Science,Göttingen
Angewandte Data Science,Göttingen
Data and Discourse Studies,Darmstadt
Semiotik und Multimodale Kommunikation,Chemnitz
Computing in the Humanities,Bamberg
Informatik in Kultur und Gesundheit,Berlin
Computerlinguistik,Bielefeld
Computational Linguistics,Stuttgart
Natural Language Processing,Trier
Digital and Computational Archaeology,Köln
Computerlinguistik (ehem. Linguistische Informatik (2-Fach)),Erlangen
